rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,rollout/exploration_rate,train/learning_rate,train/loss,train/n_updates
0.0,0,4000,4,1000.0,12357,0.9881200000000002,,,
0.0,0,8000,8,1000.0,12528,0.9862399999999999,,,
0.0,0,12000,12,1000.0,12560,0.9843600000000001,,,
0.0,1,16000,16,1000.0,12463,0.9824799999999998,,,
0.0,1,20000,20,1000.0,12493,0.9806,,,
0.0,1,24000,24,1000.0,12537,0.9787200000000001,,,
0.0,2,28000,28,1000.0,12574,0.9768399999999999,,,
0.0,2,32000,32,1000.0,12599,0.97496,,,
0.0,2,36000,36,1000.0,12622,0.9730799999999997,,,
0.0,3,40000,40,1000.0,12638,0.9712,,,
0.0,3,44000,44,1000.0,12650,0.9693200000000002,,,
0.0,3,48000,48,1000.0,12663,0.9674399999999999,,,
0.0,5,52000,52,1000.0,9569,0.9655600000000001,0.0001,0.00018466077744960785,499
0.0,7,56000,56,1000.0,7469,0.9636799999999998,0.0001,6.784873403375968e-05,1499
0.0,9,60000,60,1000.0,6274,0.9618,0.0001,6.20807841187343e-05,2499
0.0,11,64000,64,1000.0,5507,0.9599200000000002,0.0001,5.347446494852193e-05,3499
0.0,13,68000,68,1000.0,4977,0.9580399999999999,0.0001,0.0001798356242943555,4499
0.0,15,72000,72,1000.0,4585,0.9561600000000001,0.0001,2.477441739756614e-05,5499
0.0,17,76000,76,1000.0,4264,0.9542799999999998,0.0001,6.61918384139426e-05,6499
0.0,19,80000,80,1000.0,4017,0.9523999999999999,0.0001,0.00025545593234710395,7499
0.0,22,84000,84,1000.0,3816,0.9505200000000001,0.0001,0.0002143005549442023,8499
0.0,24,88000,88,1000.0,3650,0.9486399999999998,0.0001,0.00017677468713372946,9499
0.0,26,92000,92,1000.0,3512,0.94676,0.0001,8.742831414565444e-05,10499
0.0,28,96000,96,1000.0,3393,0.9448799999999997,0.0001,3.0111919841147028e-05,11499
0.0,30,100000,100,1000.0,3291,0.943,0.0001,2.418696749373339e-05,12499
0.0,32,104000,104,1000.0,3201,0.9411200000000002,0.0001,6.020096770953387e-05,13499
0.0,34,108000,108,1000.0,3121,0.9392399999999999,0.0001,5.194422556087375e-05,14499
0.0,36,112000,112,1000.0,3050,0.9373600000000001,0.0001,0.00017653568647801876,15499
0.0,38,116000,116,1000.0,2986,0.9354799999999998,0.0001,0.00010613471386022866,16499
0.0,40,120000,120,1000.0,2930,0.9336,0.0001,0.00010070664575323462,17499
0.0,43,124000,124,1000.0,2878,0.9317200000000001,0.0001,0.00014968444884289056,18499
0.0,45,128000,128,1000.0,2831,0.9298399999999999,0.0001,0.00011051481124013662,19499
0.0,47,132000,132,1000.0,2788,0.92796,0.0001,4.966017513652332e-05,20499
0.0,49,136000,136,1000.0,2751,0.9260800000000002,0.0001,0.0001749941729940474,21499
0.0,51,140000,140,1000.0,2716,0.9241999999999999,0.0001,0.0001374847488477826,22499
0.0,53,144000,144,1000.0,2683,0.9223200000000001,0.0001,3.6355562770040706e-05,23499
0.0,55,148000,148,1000.0,2653,0.9204399999999998,0.0001,0.00017878797370940447,24499
0.0,57,152000,152,1000.0,2624,0.91856,0.0001,2.850197779480368e-05,25499
0.0,60,156000,156,1000.0,2597,0.9166800000000003,0.0001,0.00012784496357198805,26499
0.0,62,160000,160,1000.0,2572,0.9148,0.0001,1.9227118173148483e-05,27499
0.0,64,164000,164,1000.0,2549,0.9129200000000002,0.0001,3.973656566813588e-05,28499
0.0,66,168000,168,1000.0,2526,0.9110399999999998,0.0001,5.019934178562835e-05,29499
0.0,68,172000,172,1000.0,2504,0.9091600000000001,0.0001,1.5681192962802015e-05,30499
0.0,70,176000,176,1000.0,2485,0.9072800000000002,0.0001,0.00011247006477788091,31499
0.0,72,180000,180,1000.0,2466,0.9054,0.0001,8.773284207563847e-05,32499
0.0,75,184000,184,1000.0,2449,0.9035200000000001,0.0001,0.00013666458835359663,33499
0.0,77,188000,188,1000.0,2432,0.9016399999999998,0.0001,5.003415571991354e-05,34499
0.0,79,192000,192,1000.0,2417,0.89976,0.0001,8.283418719656765e-05,35499
0.0,81,196000,196,1000.0,2402,0.8978800000000002,0.0001,6.0735105762432795e-06,36499
0.0,83,200000,200,1000.0,2389,0.8959999999999999,0.0001,0.00019006009097211063,37499
0.0,85,204000,204,1000.0,2375,0.8941200000000001,0.0001,5.6401688198093325e-05,38499
0.0,88,208000,208,1000.0,2362,0.8922399999999998,0.0001,0.00033518963027745485,39499
0.0,90,212000,212,1000.0,2350,0.89036,0.0001,1.662577960814815e-05,40499
0.0,92,216000,216,1000.0,2338,0.8884800000000003,0.0001,6.884873437229544e-05,41499
0.0,94,220000,220,1000.0,2326,0.8865999999999999,0.0001,0.0001232301874551922,42499
0.0,96,224000,224,1000.0,2315,0.8847200000000002,0.0001,0.0001242759171873331,43499
0.0,98,228000,228,1000.0,2304,0.8828399999999998,0.0001,8.751609129831195e-05,44499
0.0,101,232000,232,1000.0,2294,0.88096,0.0001,9.418246918357909e-05,45499
0.0,103,236000,236,1000.0,2284,0.8790800000000002,0.0001,2.2676265871268697e-05,46499
0.0,105,240000,240,1000.0,2274,0.8771999999999999,0.0001,5.4724190704291686e-05,47499
0.0,107,244000,244,1000.0,2265,0.8753200000000001,0.0001,7.211940828710794e-05,48499
0.0,109,248000,248,1000.0,2256,0.8734399999999998,0.0001,1.2521655662567355e-05,49499
0.0,112,252000,252,1000.0,2248,0.87156,0.0001,0.00013305639731697738,50499
0.0,114,256000,256,1000.0,2240,0.8696800000000002,0.0001,0.0007513605523854494,51499
0.0,116,260000,260,1000.0,2232,0.8677999999999999,0.0001,9.532555122859776e-05,52499
0.0,118,264000,264,1000.0,2224,0.8659200000000001,0.0001,5.99764971411787e-05,53499
0.0,120,268000,268,1000.0,2217,0.8640399999999998,0.0001,0.00012910779332742095,54499
0.0,123,272000,272,1000.0,2210,0.86216,0.0001,0.00014489315799437463,55499
0.0,125,276000,276,1000.0,2203,0.8602800000000002,0.0001,4.315449405112304e-05,56499
0.0,127,280000,280,1000.0,2196,0.8583999999999998,0.0001,9.333914931630716e-05,57499
0.0,129,284000,284,1000.0,2189,0.8565200000000001,0.0001,7.444550647051074e-06,58499
0.0,131,288000,288,1000.0,2183,0.8546399999999998,0.0001,4.301381704863161e-05,59499
0.0,134,292000,292,1000.0,2176,0.85276,0.0001,2.4831777409417555e-05,60499
0.0,136,296000,296,1000.0,2170,0.8508800000000002,0.0001,7.616803486598656e-05,61499
0.0,138,300000,300,1000.0,2164,0.8489999999999999,0.0001,4.88542063976638e-05,62499
0.0,140,304000,304,1000.0,2158,0.8471200000000001,0.0001,0.00011138292029500008,63499
0.0,143,308000,308,1000.0,2152,0.8452399999999998,0.0001,2.7448913897387683e-05,64499
0.0,145,312000,312,1000.0,2147,0.84336,0.0001,0.00015615715528838336,65499
0.0,147,316000,316,1000.0,2142,0.8414800000000002,0.0001,0.00020770316768903285,66499
0.0,149,320000,320,1000.0,2136,0.8395999999999999,0.0001,4.330788578954525e-05,67499
0.0,151,324000,324,1000.0,2131,0.83772,0.0001,8.934280776884407e-05,68499
0.0,154,328000,328,1000.0,2126,0.8358399999999998,0.0001,1.829238681239076e-05,69499
0.0,156,332000,332,1000.0,2121,0.83396,0.0001,6.99404627084732e-05,70499
0.0,158,336000,336,1000.0,2115,0.8320800000000002,0.0001,0.0013959050411358476,71499
0.0,161,340000,340,1000.0,2110,0.8301999999999998,0.0001,5.345665704226121e-05,72499
0.0,163,344000,344,1000.0,2105,0.8283200000000001,0.0001,8.233977860072628e-05,73499
0.0,165,348000,348,1000.0,2101,0.8264400000000003,0.0001,5.069747203378938e-05,74499
0.0,167,352000,352,1000.0,2096,0.82456,0.0001,6.811740604462102e-06,75499
0.0,170,356000,356,1000.0,2091,0.8226800000000002,0.0001,0.00017765676602721214,76499
0.0,172,360000,360,1000.0,2086,0.8207999999999999,0.0001,9.081803727895021e-05,77499
0.0,174,364000,364,1000.0,2082,0.8189200000000001,0.0001,1.207245895784581e-05,78499
0.0,177,368000,368,1000.0,2078,0.8170400000000003,0.0001,6.917984137544408e-05,79499
