time/episodes,time/fps,rollout/exploration_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/loss,train/learning_rate,train/n_updates
248,1721,0.7015999999999997,1000.0,1.94,248000,144,4.535011248663068e-05,0.0001,49499
252,1715,0.6984,1000.0,1.99,252000,146,9.847583714872599e-05,0.0001,50499
256,1711,0.6952000000000004,1000.0,1.93,256000,149,3.149619806208648e-05,0.0001,51499
260,1706,0.6919999999999998,1000.0,1.92,260000,152,0.0034082785714417696,0.0001,52499
264,1701,0.6888000000000002,1000.0,1.94,264000,155,1.7070748072001152e-05,0.0001,53499
268,1697,0.6855999999999997,1000.0,1.86,268000,157,8.39920830912888e-05,0.0001,54499
272,1692,0.6824,1000.0,1.92,272000,160,0.003998488187789917,0.0001,55499
276,1688,0.6792000000000004,1000.0,1.91,276000,163,7.428221579175442e-05,0.0001,56499
280,1684,0.6759999999999998,1000.0,2.08,280000,166,0.00016284696175716817,0.0001,57499
284,1680,0.6728000000000002,1000.0,2.18,284000,168,0.0054951743222773075,0.0001,58499
288,1677,0.6695999999999996,1000.0,2.17,288000,171,0.003400237765163183,0.0001,59499
292,1672,0.6664,1000.0,2.12,292000,174,9.066640632227063e-05,0.0001,60499
296,1669,0.6632000000000003,1000.0,2.03,296000,177,0.001405687304213643,0.0001,61499
300,1665,0.6599999999999998,1000.0,2.15,300000,180,0.0034639048390090466,0.0001,62499
304,1661,0.6568000000000002,1000.0,2.0,304000,182,0.007938139140605927,0.0001,63499
308,1658,0.6535999999999996,1000.0,2.2,308000,185,0.00021962368919048458,0.0001,64499
312,1654,0.6504,1000.0,2.45,312000,188,0.002286740578711033,0.0001,65499
316,1650,0.6472000000000003,1000.0,2.54,316000,191,0.0001026859026751481,0.0001,66499
320,1647,0.6439999999999998,1000.0,2.52,320000,194,0.0019547841511666775,0.0001,67499
324,1644,0.6408000000000001,1000.0,2.79,324000,197,0.0038585285656154156,0.0001,68499
328,1640,0.6375999999999996,1000.0,2.98,328000,199,9.418322588317096e-05,0.0001,69499
332,1637,0.6344,1000.0,3.11,332000,202,0.007407753262668848,0.0001,70499
336,1633,0.6312000000000003,1000.0,3.35,336000,205,0.003435759339481592,0.0001,71499
340,1630,0.6279999999999998,1000.0,3.46,340000,208,0.00014898795052431524,0.0001,72499
